Date,Price,Open,High,Low,Vol.,Change %,,,,,
"Mar 30, 2020","2,611.25","2,459.00","2,621.75","2,445.00",1.84M,3.46%,,,,,
"Mar 27, 2020","2,524.00","2,627.75","2,634.50","2,505.25",-,-3.22%,,,,,
"Mar 26, 2020","2,608.00","2,471.00","2,625.75","2,402.25",-,5.72%,,,,,
"Mar 25, 2020","2,467.00","2,442.75","2,560.75","2,386.00",-,1.19%,,,,,
"Mar 24, 2020","2,438.00","2,233.25","2,447.75","2,230.50",-,9.80%,,,,,
"Mar 23, 2020","2,220.50","2,220.25","2,386.00","2,174.00",-,-8.92%,,,,,
"Mar 20, 2020","2,437.98","2,364.25","2,512.75","2,346.25",71.68K,1.45%,,,,,
"Mar 19, 2020","2,403.25","2,414.25","2,474.00","2,288.00",631.23K,-0.45%,,,,,
"Mar 18, 2020","2,414.00","2,478.50","2,498.00","2,274.75",976.54K,-3.27%,,,,,
"Mar 17, 2020","2,495.50","2,417.25","2,554.50","2,365.00",1.68M,3.28%,,,,,
"Mar 16, 2020","2,416.25","2,673.75","2,675.00","2,360.25",2.38M,-10.38%,,,,,
"Mar 13, 2020","2,696.00","2,429.50","2,707.75","2,393.50",3.42M,9.19%,,,,,
"Mar 12, 2020","2,469.00","2,738.00","2,774.00","2,442.50",4.37M,-9.90%,,,,,
"Mar 11, 2020","2,740.25","2,859.50","2,869.50","2,702.75",2.99M,-4.38%,,,,,
"Mar 10, 2020","2,865.75","2,733.00","2,884.75","2,695.25",3.42M,4.29%,,,,,
"Mar 09, 2020","2,747.75","2,916.00","2,916.00","2,715.00",2.67M,-7.30%,,,,,
"Mar 06, 2020","2,964.00","3,024.25","3,037.00","2,898.00",3.16M,-1.71%,,,,,
"Mar 05, 2020","3,015.50","3,109.25","3,113.75","2,996.50",2.81M,-3.19%,,,,,
"Mar 04, 2020","3,114.75","2,988.25","3,129.50","2,976.50",2.59M,3.93%,,,,,
"Mar 03, 2020","2,997.00","3,077.00","3,137.00","2,973.00",3.75M,-2.22%,,,,,
"Mar 02, 2020","3,065.00","2,900.00","3,093.25","2,889.25",3.69M,3.86%,,,,,
"Feb 28, 2020","2,951.00","2,950.00","2,996.00","2,853.25",5.72M,-0.20%,,,,,
"Feb 27, 2020","2,957.00","3,100.25","3,117.00","2,944.50",4.73M,-4.93%,,,,,
"Feb 26, 2020","3,110.25","3,138.00","3,182.00","3,091.00",3.89M,-0.71%,,,,,
"Feb 25, 2020","3,132.50","3,223.00","3,259.50","3,117.25",4.38M,-2.91%,,,,,
"Feb 24, 2020","3,226.25","3,309.00","3,312.00","3,213.75",3.64M,-3.38%,,,,,
"Feb 21, 2020","3,339.25","3,367.00","3,369.25","3,328.00",2.29M,-0.89%,,,,,
"Feb 20, 2020","3,369.25","3,391.75","3,397.50","3,339.25",2.07M,-0.53%,,,,,
"Feb 19, 2020","3,387.25","3,372.00","3,393.75","3,370.75",1.16M,0.53%,,,,,
"Feb 18, 2020","3,369.25","3,382.25","3,392.50","3,355.25",1.74M,-0.20%,,,,,
"Feb 17, 2020","3,376.00","3,387.62","3,392.38","3,372.12",-,-0.34%,,,,,
"Feb 16, 2020","3,387.38","3,382.62","3,389.38","3,382.62",-,0.19%,,,,,
"Feb 14, 2020","3,381.00","3,379.50","3,388.50","3,365.25",1.33M,0.10%,,,,,
"Feb 13, 2020","3,377.50","3,381.25","3,384.75","3,348.50",1.77M,-0.09%,,,,,
